City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
134,port augusta,-32.5,137.7667,18.49,88,100,3.44,AU,1702227853
135,grand falls-windsor,48.9332,-55.6649,1.95,73,37,0.89,CA,1702227597
136,lapithos,35.3375,33.1792,13.16,65,100,3.41,CY,1702227854
137,margaret river,-33.95,115.0667,17.0,48,0,7.72,AU,1702227656
138,terenozek,45.05,64.9833,-9.09,23,97,7.03,KZ,1702227854
139,tindouf,27.6711,-8.1474,25.25,19,30,6.17,DZ,1702227652
140,lorengau,-2.0226,147.2712,27.46,84,100,5.55,PG,1702227816
141,howrah,22.5892,88.3103,20.0,73,0,0.0,IN,1702227770
142,katabu,-4.9333,122.5167,25.08,91,83,0.79,ID,1702227854
143,ribeira grande,38.5167,-28.7,18.76,72,40,9.26,PT,1702227646
144,ulaangom,49.9811,92.0667,-23.45,89,100,2.3,MN,1702227855
145,hilo,19.7297,-155.09,23.47,97,100,3.09,US,1702227651
146,petropavlovsk-kamchatsky,53.0452,158.6483,0.33,95,100,6.71,RU,1702227646
147,cold lake,54.4502,-110.2017,-12.03,92,75,1.54,CA,1702227855
148,raduzhnyy,62.0961,77.475,-33.3,98,8,2.14,RU,1702227855
149,bobo-dioulasso,11.1771,-4.2979,34.25,10,0,3.6,BF,1702227855
150,hwange,-18.3693,26.5019,28.6,47,88,3.74,ZW,1702227856
151,quibdo,5.6947,-76.6611,27.19,94,100,0.0,CO,1702227618
152,flin flon,54.7682,-101.865,-8.09,93,100,1.54,CA,1702227856
153,tolanaro,-25.0319,46.9987,27.04,83,20,9.26,MG,1702227621
154,midvagur,62.0511,-7.1939,7.46,81,100,6.17,FO,1702227856
155,hawaiian paradise park,19.5933,-154.9731,23.35,97,100,3.09,US,1702227651
156,nueva guinea,11.6876,-84.4562,25.06,94,98,4.26,NI,1702227857
157,lhokseumawe,5.1801,97.1507,26.31,86,100,1.75,ID,1702227857
158,anadyr,64.75,177.4833,-24.72,75,20,5.0,RU,1702227601
159,el attaf,36.2239,1.6719,19.88,57,72,0.26,DZ,1702227857
160,vila franca do campo,37.7167,-25.4333,18.27,99,100,5.32,PT,1702227755
161,ushuaia,-54.8,-68.3,9.81,50,0,10.8,AR,1702227361
162,zijinglu,34.76,112.9714,-0.37,97,100,4.61,CN,1702227857
163,whitehorse,60.7161,-135.0538,-17.33,81,75,2.06,CA,1702227669
164,camayenne,9.535,-13.6878,30.05,66,75,3.09,GN,1702227858
165,larkird,35.4894,66.6641,7.82,25,26,1.96,AF,1702227858
166,polovinnoye,54.7914,65.9864,-31.36,98,72,3.2,RU,1702227858
167,samoylovka,51.184,43.7081,-7.61,68,98,6.06,RU,1702227858
168,port elizabeth,-33.918,25.5701,20.16,73,20,3.6,ZA,1702227645
169,mossel bay,-34.1831,22.146,19.96,72,2,6.41,ZA,1702227858
170,awjilah,29.1081,21.2869,16.58,52,64,2.45,LY,1702227800
171,las khorey,11.1595,48.1967,25.87,73,43,6.48,SO,1702227648
172,geraldton,-28.7667,114.6,23.23,14,0,6.17,AU,1702227820
173,westport,41.1415,-73.3579,14.75,93,100,2.06,US,1702227859
174,douz,33.4663,9.0203,15.92,41,0,4.53,TN,1702227859
175,igarka,67.4667,86.5833,-34.82,98,100,2.35,RU,1702227860
176,bovalino,38.149,16.174,17.97,90,100,7.94,IT,1702227768
177,utrik,11.2278,169.8474,27.21,76,87,10.83,MH,1702227706
178,puerto natales,-51.7236,-72.4875,12.25,50,75,3.6,CL,1702227594
179,sinjai,-5.1241,120.253,24.59,88,100,1.65,ID,1702227860
180,moyynkum,44.2914,72.9469,-6.8,55,100,4.35,KZ,1702227860
181,iskateley,67.6803,53.1512,-22.77,91,98,4.92,RU,1702227647
182,chonchi,-42.6128,-73.8092,17.56,74,88,2.06,CL,1702227749
183,tazovsky,67.4667,78.7,-31.15,92,65,3.93,RU,1702227640
